Strain	Diet	Fat mass [g]	Glucose [mg/dl]	Insulin [ng/ml]	Fat mass [rel]	Glucose [mg/dl] sim	Insulin [ng/ml] sim
B6D2F1	CD		97.666672				
BXD1	CD	3.566	72.800003	0.164	0.9905555555555555	100.58565837559053	0.40773738657817704
BXD1	HFD	12.634	93.199997	0.354	3.5094444444444446	141.57113762902262	1.158609444924099
BXD100	CD	8.77	121.0	1.278333	2.436111111111111	129.5317681669008	0.8940457986863902
BXD100	HFD	18.4045995	163.0	2.561	5.11238875	154.47957547366255	1.4765929005784841
BXD101	CD	5.058	68.0	0.337	1.405	111.85147789586591	0.5707258772498247
BXD101	HFD	19.03	94.0	0.9775	5.286111111111111	155.65740756087996	1.5071266508219483
BXD11	CD	4.369			1.213611111111111	107.14760633420141	0.49863687453200667
BXD12	CD	2.7442	71.400002		0.7622777777777778	93.29332423831337	0.3113952003668755
BXD14	CD		93.0				
BXD16	CD	16.373199	100.987499		4.548110833333333	150.3994757916385	1.3726703757565102
BXD16	HFD	24.2841005	148.399994		6.745583472222222	164.43435735049087	1.741303744824879
BXD18	CD	3.659			1.0163888888888888	101.41090426846807	0.41864006766560835
BXD2	CD	9.12825	101.7055015		2.535625	130.83530061678974	0.9210323853217293
BXD2	HFD	15.0814	146.600006		4.189277777777778	147.57066165914995	1.3023977462939056
BXD20	CD	2.964			0.8233333333333333	95.24374410126484	0.33716304233480454
BXD22	CD		99.5				
BXD27	CD		122.599998				
BXD27	HFD	21.4621245	175.875		5.96170125	159.94536801997538	1.6201445981024403
BXD28	CD	6.808			1.891111111111111	121.35801537164201	0.7345152127177579
BXD31	CD	4.535			1.2597222222222222	108.34720658562594	0.5164625304821747
BXD32	CD	6.175000000000001	92.875	0.04	1.715277777777778	118.22910421323994	0.6780015077825267
BXD32	HFD	17.044500499999998	130.75	1.72	4.734583472222222	151.7937293331365	1.407852786983639
BXD34	CD	6.775	106.18191150000001		1.8819444444444444	121.20318526587782	0.7316485551569384
BXD34	HFD	8.13	103.800003		2.2583333333333333	127.07476703482632	0.8443143162346478
BXD39	CD	15.264800000000001	153.399994		4.240222222222222	147.98626067752352	1.312615762053679
BXD39	HFD	19.1887	206.399994		5.3301944444444445	155.95081199152585	1.5147695616855457
BXD40	CD	2.82	91.199997	0.02	0.7833333333333332	93.96594400906733	0.32028147161878184
BXD40	HFD	8.35	100.300003	0.02	2.319444444444444	127.94071531037139	0.8616570153940675
BXD42	CD	2.924	93.400002		0.8122222222222222	94.88879963120998	0.33247371713590934
BXD43	CD	5.468	82.300003	0.155	1.5188888888888887	114.34214179703211	0.6113403002815895
BXD43	HFD	11.6235	89.300003	0.007	3.22875	138.78635255695346	1.0944593753447538
BXD44	CD	13.79775	108.5	1.539	3.8327083333333336	144.5411466960604	1.2288679186807567
BXD44	HFD	32.4136245	238.399994	1.9148	9.003784583333333	175.30051838686802	2.044211864125283
BXD45	CD	2.61975	154.75	0.508	0.7277083333333333	92.18900325585517	0.29680553734181286
BXD45	HFD	11.391	163.25	2.114	3.1641666666666666	138.11599934967302	1.079264608361241
BXD48	CD	6.48	93.0	0.167	1.8	119.77428876135382	0.7055872201485098
BXD48	HFD	24.085	145.0	1.418	6.690277777777778	164.13241731322378	1.7330706790978052
BXD48a	CD	8.508	124.599998	0.8334	2.363333333333333	128.54808815733128	0.8739455219432439
BXD48a	HFD	23.509	159.300003	9.793333	6.530277777777778	163.24726681767368	1.7090003415816153
BXD49	CD	5.0478749999999994	89.0	0.0	1.4021875	111.78575058480979	0.5696904908475744
BXD49	HFD	16.437	113.0	0.606	4.565833333333334	150.53422018683474	1.376054166445933
BXD50	CD	9.030000000000001	91.0	0.1183	2.5083333333333337	130.48244628047263	0.9136874679546703
BXD50	HFD		144.199997	1.896			
BXD51	CD	5.69225	91.0999985	0.99025	1.5811805555555554	115.63016058477754	0.6329580038871989
BXD51	HFD	25.7155	178.25	1.8715	7.143194444444444	166.54662187582417	1.799210020363961
BXD53	CD	4.600099999999999	84.599998		1.2778055555555554	108.79970477780164	0.5233335983597348
BXD53	HFD	15.1525	166.800003		4.209027777777778	147.73177992636022	1.3063590381178962
BXD55	CD	3.7	94.466499	2.295	1.027777777777778	101.77472235027432	0.42344662599447597
BXD55	HFD	6.0676000000000005	77.5	1.192	1.6854444444444445	117.67490450971817	0.6681936168150885
BXD56	CD	4.1	112.166672	0.329	1.1388888888888888	105.11097138615071	0.46914480896483035
BXD56	HFD	10.7	118.800003	0.729	2.972222222222222	136.04387775062432	1.0329739083479261
BXD6	CD	5.0824	102.0		1.4117777777777778	112.00987260102829	0.573221030653766
BXD6	HFD	19.115601	116.0		5.309889166666667	155.816406126716	1.5112634321881353
BXD60	CD	9.015	114.599998	0.1816	2.504166666666667	130.42857538943184	0.9125661065245848
BXD60	HFD	28.0699995	193.5		7.797222083333334	169.81745220286757	1.8898809529138956
BXD61	CD	6.380667	96.300003	0.69	1.7724075	119.28618140542456	0.6967441417095762
BXD61	HFD	20.811200499999998	144.399994	4.805	5.780889027777778	158.8398190312021	1.5907378171983981
BXD62	CD	4.007	126.800003	0.0	1.1130555555555555	104.35608006261499	0.45863650065353617
BXD62	HFD	15.05	132.0	1.57	4.180555555555555	147.49950675633139	1.300648315024239
BXD63	CD	9.6785	122.0	0.71	2.688472222222222	132.7463806707651	0.9613559326556409
BXD63	HFD	18.9729995	198.0	2.46	5.270277638888889	155.55109926461662	1.5043636569626389
BXD64	CD	7.885	79.0	0.3155	2.1902777777777778	126.08751180500704	0.824741713925334
BXD64	HFD	18.875	138.0	1.048	5.243055555555555	155.36832613315886	1.4996133123741635
BXD65	CD	11.6	118.917	1.51	3.222222222222222	138.71906373358857	1.0929302646489552
BXD65	HFD	25.5	198.5	4.35	7.083333333333333	166.23506552477153	1.7906349940651958
BXD65a	CD	11.15	146.399994	1.76	3.0972222222222223	137.40839662043268	1.0633315243847254
BXD65a	HFD	20.0599995	149.25	2.275	5.572222083333333	157.52766776849555	1.5560685574257356
BXD65b	CD	12.96	156.300003	1.33	3.6	142.42701319927838	1.1786639839473023
BXD66	CD	14.0626	109.167	2.28175	3.9062777777777775	145.18653933159968	1.2443731118334054
BXD66	HFD	26.9299	146.5	4.175	7.480527777777778	168.2630614655896	1.8466482693551354
BXD67	CD	10.4177	113.800003		2.8938055555555553	135.1630583531223	1.0135883222693522
BXD67	HFD	22.4284	162.0		6.2301111111111105	161.53545845229698	1.6627484812480777
BXD68	CD	9.8698	121.647003	0.206	2.7416111111111108	133.39098080617907	0.9751241648664979
BXD68	HFD	13.33	78.5	0.0975	3.7027777777777775	143.37624618920302	1.2010818635591993
BXD69	CD	13.8	129.332993	1.48	3.8333333333333335	144.5466554026547	1.2290000609180258
BXD69	HFD	16.509	202.0	1.733	4.585833333333333	150.68628044379196	1.3798728045493864
BXD70	CD	5.92975	88.0	1.19175	1.647152777777778	116.93177912238205	0.6553212300065722
BXD70	HFD	10.8695	122.0	1.32325	3.0193055555555555	136.56426084604394	1.0444973884365043
BXD71	CD	10.995	79.199997	1.028	3.0541666666666663	136.94241010466033	1.0529306908013643
BXD71	HFD	19.9200005	161.0	3.32	5.533333472222222	157.27763709519522	1.5494981357586837
BXD73	CD	4.67375	157.75	1.06875	1.2982638888888889	109.3116324560465	0.5311070875944862
BXD73	HFD	15.3182	125.800003	1.3462	4.255055555555555	148.10540989363093	1.3155591452364057
BXD73a	CD	13.884	128.0	3.35525	3.8566666666666665	144.75231378217606	1.2339333711093992
BXD73a	HFD	17.4055005	162.0	4.743	4.834861249999999	152.5241561448584	1.4264223043511888
BXD73b	CD	12.74	103.400002	1.0022	3.5388888888888888	141.8531316753937	1.1651870129796165
BXD73b	HFD	18.8645	102.0	1.2394	5.240138888888889	155.34874319773257	1.4991043442857652
BXD75	CD	7.6118	105.199997	1.3596	2.1143888888888887	124.95240045792194	0.8025365032659189
BXD75	HFD	17.2597	163.399994	2.4586	4.794361111111111	152.23094893287512	1.418955254036547
BXD77	CD	6.01	107.5	0.132	1.6694444444444443	117.3679360686189	0.6628465661092943
BXD77	HFD	17.2800005	180.0	2.55	4.800000138888889	152.2717735734413	1.4199949271166283
BXD79	CD	10.421	91.599998	0.085	2.894722222222222	135.17355783973113	1.0138176850065141
BXD79	HFD	16.3558995	133.399994	0.971	4.543305416666667	150.36294014698254	1.371752868397195
BXD8	CD	3.582			0.9949999999999999	100.72763616361247	0.40961311665773514
BXD81	CD	4.998	88.6875	0.2	1.3883333333333334	111.4619827192371	0.564590254125379
BXD81	HFD	20.47	158.5	2.723	5.686111111111111	158.24862920251246	1.5750868777637317
BXD83	CD	3.778	106.0	0.128667	1.0494444444444444	102.4668640668813	0.43259081013232153
BXD83	HFD	11.681000000000001	186.0	3.82975	3.2447222222222223	138.9509954226335	1.0982008164089416
BXD84	CD	8.125	81.599998	0.4724	2.256944444444444	127.05483735686572	0.8439173078380448
BXD84	HFD	19.9230005	127.5	2.105	5.5341668055555555	157.28300240333246	1.5496390794807073
BXD85	CD	14.065999999999999	97.199997	1.2174	3.907222222222222	145.1946983061988	1.2445701094774222
BXD85	HFD	19.9250005	134.75	2.277	5.534722361111111	157.28657927542395	1.5497330419620563
BXD86	CD	4.974			1.3816666666666666	111.30618464858559	0.5621360048756007
BXD87	CD	3.57575	115.800003	1.634	0.993263888888889	100.6721760901664	0.4088804095954078
BXD87	HFD	10.148975	191.0	2.0186	2.819159722222222	134.30502987193043	0.9948705835713052
BXD89	CD	7.474	115.25	0.31	2.076111111111111	124.35884326175491	0.7911094413818096
BXD89	HFD	13.233	95.300003	1.401	3.6758333333333333	143.12864753293363	1.1952242643038071
BXD90	CD	4.39	94.0	0.02	1.2194444444444443	107.30480795223632	0.5009282108435059
BXD90	HFD	22.205	157.0	1.188	6.168055555555555	161.17329098119637	1.6530120054847337
BXD95	CD	6.11	123.0	0.3485	1.6972222222222222	117.89369470924632	0.6720656333608928
BXD95	HFD	19.475	131.600006	1.15	5.409722222222222	156.47554473044664	1.5284689235127324
BXD98	CD	7.97	107.199997	0.012	2.2138888888888886	126.43701734008705	0.8316100475433497
BXD98	HFD	19.803799499999997	158.0	1.39	5.501055416666666	157.069819038244	1.54403886861106
BXD99	CD	10.8535	93.0	0.168	3.014861111111111	136.51605058199723	1.04342222638202
BXD99	HFD	19.6685	111.599998	0.8936	5.463472222222222	156.82639138282147	1.537653782509564
C57BL/6J	CD	3.79	109.666672	0.387	1.0527777777777778	102.57334740789776	0.43399760769199014
C57BL/6J	HFD	13.65725	163.0	3.3	3.7936805555555555	144.1959080845558	1.220596341321661
DBA/2J	CD	8.098125	91.8930015	2.72175	2.2494791666666667	126.94771533782747	0.8417833877063032
DBA/2J	HFD	16.602275	132.699997	3.7855	4.611743055555555	150.88128902302535	1.384784349155092
