Time,Glucose,Group,Genotype
-0.19571545068721719, 53.56728313859014, 0, WT
-0.19071542092513027, 58.56731290067205, 0, MIRKO
15.646521705486343, 145.80443931213875, 1, WT
15.433663295614856, 182.94602944065144, 1, MIRKO
30.44518122131678, 194.46395514259012, 2, WT
30.452324120976904, 201.60685480270718, 2, MIRKO
59.89249936011526, 141.78209394103538, 3, WT
60.17535818665589, 174.64092048166958, 3, MIRKO
120.61214650087206, 111.42923469782568, 4, WT
120.11785784439192, 117.14057821772758, 4, MIRKO